plasmid,exp,n_groups,cv2_BFP,cv2_BFP_se,cv2_BFP_ci_low,cv2_BFP_ci_high,cv2_mCherry,cv2_mCherry_se,cv2_mCherry_ci_low,cv2_mCherry_ci_high,mean_BFP,mean_BFP_se,mean_BFP_ci_low,mean_BFP_ci_high,mean_mCherry,mean_mCherry_se,mean_mCherry_ci_low,mean_mCherry_ci_high
SP411,KD,24,2.267698149351567,0.1397977812705895,1.9936944980612115,2.5417018006419223,0.4371194801253134,0.060887321839749604,0.31778032931940414,0.5564586309312226,2670.506601969401,335.95552405881364,2012.0337748141262,3328.9794291246753,1009.9631843566895,105.83158907083272,802.5332697778573,1217.3930989355215
SP411,Rev,24,7.390443460319763,1.6706761889813824,4.1159181299162535,10.664968790723272,0.6219536588757166,0.086675946033631,0.45206880464979987,0.7918385131016334,1163.2864933013916,359.06452416014315,459.52002594751104,1867.0529606552723,762.810427347819,77.64805729955211,610.6202350406968,915.0006196549411
SP427,KD,24,0.7503929467901734,0.035151755142310726,0.6814955067112444,0.8192903868691025,0.5576333245743594,0.09171134062067107,0.37787909695784416,0.7373875521908747,1081.8878262837727,107.74185134833826,870.7137976410297,1293.0618549265157,946.3644574483236,124.21752957656435,702.8980994782576,1189.8308154183896
SP427,Rev,24,0.8783251649566618,0.11427783144732274,0.6543406153199092,1.1023097145934144,0.8048246338372134,0.10896406955213384,0.591255057515031,1.0183942101593957,607.4473368326823,109.60759927214662,392.6164422592749,822.2782314060896,639.5680128733317,85.65351444218592,471.6871245666473,807.448901180016
SP428,KD,24,0.9432316313849366,0.05368164129622298,0.8380156144443396,1.0484476483255336,0.6797785859402063,0.12442895961707784,0.4358978250907338,0.9236593467896789,1328.677786509196,108.07368005472726,1116.8533736019306,1540.5021994164615,897.8214124043783,112.7749481048508,676.7825141188707,1118.8603106898859
SP428,Rev,24,2.182704472737479,0.6051434296731484,0.9966233505781084,3.36878559489685,1.190651993285293,0.17132367289946562,0.8548575944023404,1.5264463921682456,588.1626841227213,124.57130991319401,344.00291669286105,832.3224515525816,576.6609503428141,76.89084030926469,425.9549033366553,727.3669973489729
SP430,KD,24,1.0125460294830453,0.07237848862079826,0.8706841917862806,1.15440786717981,0.27878465567126426,0.029029689847726334,0.22188646356972064,0.3356828477728079,1676.5820630391438,152.74213289293994,1377.2074825689815,1975.956643509306,1098.9066823323567,96.34315994300026,910.0740888440762,1287.7392758206372
SP430,Rev,24,1.3939057616509662,0.19456644083579455,1.0125555376128088,1.7752559856891237,0.3547388740053418,0.027752742775221512,0.30034349816590766,0.409134249844776,809.5742584864298,185.0681864288902,446.84061308580505,1172.3079038870546,874.0877749125162,64.85148965377059,746.9788551911258,1001.1966946339066
SP430ABA,KD,24,0.8597763814551768,0.07048553091070517,0.7216247408701946,0.997928022040159,0.6446621210453904,0.13504308904217294,0.3799776665227315,0.9093465755680494,1459.9184811909993,132.44893144369706,1200.318575561353,1719.5183868206454,953.0222021738688,125.50742455741842,707.0276500413287,1199.016754306409
SP430ABA,Rev,12,0.6158438018578068,0.07013630242987527,0.47837664909525135,0.7533109546203623,0.7959888139169778,0.1841845242148769,0.4349871464558191,1.1569904813781366,605.9777787526449,193.73608915868118,226.2550440016298,985.70051350366,723.9950561523438,129.30124962051244,470.56460689613937,977.4255054085481
