plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP411,KD,R1,0.0,223.71644592285156,161289.453125,3.2226277821844405,1548.2794189453125,326453.28125,0.13618283048849536,10794
SP411,KD,R1,3.0,687.6585083007812,1083439.875,2.2911798104518617,1533.532958984375,497674.3125,0.21162111410810075,5141
SP411,KD,R1,6.0,1818.250732421875,8935918.0,2.702910295207103,1372.4356689453125,497008.125,0.2638636072216275,2154
SP411,KD,R1,8.0,2884.0322265625,17635802.0,2.1202886883409144,1385.28076171875,482418.625,0.25139026780918067,3296
SP411,KD,R1,25.0,3697.708251953125,22706688.0,1.6606897595669858,645.985595703125,184172.46875,0.4413458440600085,6793
SP411,KD,R1,50.0,4458.4970703125,31896568.0,1.604600729253507,357.4830627441406,109402.4296875,0.8560833036632391,11223
SP411,KD,R1,100.0,3861.833740234375,25895748.0,1.7363661667251247,470.88018798828125,184122.5625,0.8303977699914404,4557
SP411,KD,R1,150.0,3618.253173828125,25872204.0,1.97622106162663,486.8491516113281,176522.09375,0.7447495250979775,3989
SP411,KD,R2,0.0,258.1264953613281,165669.65625,2.4864389549813772,1543.0335693359375,342048.125,0.14366019951872167,13019
SP411,KD,R2,3.0,782.4039306640625,1358069.375,2.218502429235453,1623.7823486328125,339781.78125,0.1288678125073476,5642
SP411,KD,R2,6.0,2034.578125,12327061.0,2.9779047565692482,1478.6312255859375,357979.96875,0.16373404048783274,2667
SP411,KD,R2,8.0,2244.8984375,20996796.0,4.166387249013509,1491.5172119140625,428089.09375,0.19243214672951603,1747
SP411,KD,R2,25.0,3637.880126953125,26347640.0,1.9908793963218714,783.4553833007812,203330.890625,0.33126444485764617,8370
SP411,KD,R2,50.0,2880.43115234375,16695287.0,2.012235889741672,341.77618408203125,101235.65625,0.8666623084433354,9128
SP411,KD,R2,100.0,5473.58447265625,46485964.0,1.551594358465584,557.3443603515625,223741.09375,0.7202753213321895,4032
SP411,KD,R2,150.0,3747.496826171875,49622948.0,3.5334586537928456,450.705810546875,148844.859375,0.7327359942491549,3486
SP411,KD,R3,0.0,221.8122100830078,115207.8359375,2.341591434646155,1507.1724853515625,349100.0625,0.15368235689776644,13666
SP411,KD,R3,3.0,676.9631958007812,1002125.25,2.186713512089761,1668.3099365234375,362130.84375,0.1301104094502701,2362
SP411,KD,R3,6.0,1599.2049560546875,6806316.0,2.6613614044664087,1448.1024169921875,410581.0625,0.19579444112831787,2725
SP411,KD,R3,8.0,1913.093017578125,9252838.0,2.5281496938382806,1455.8115234375,376833.40625,0.17780300254371245,2204
SP411,KD,R3,25.0,3822.1669921875,24226324.0,1.6583194932444978,722.963623046875,206182.609375,0.3944746869702756,5929
SP411,KD,R3,50.0,5431.7333984375,41856904.0,1.418698830500637,343.3493957519531,108828.703125,0.9231470346888375,6169
SP411,KD,R3,100.0,4596.18798828125,31578288.0,1.494834162149294,525.96337890625,217007.28125,0.7844464330235799,5966
SP411,KD,R3,150.0,3521.64697265625,23350494.0,1.8828010720244432,496.47076416015625,176517.140625,0.716142627738946,4250
SP411,Rev,R1,0.0,5520.77490234375,45531596.0,1.4938699578013437,406.31329345703125,169273.421875,1.0253371915806913,3320
SP411,Rev,R1,1.0,1573.675537109375,19635008.0,7.9286764385190445,459.8857421875,193955.078125,0.9170674182446988,9378
SP411,Rev,R1,3.0,761.6666870117188,12973294.0,22.36249917642185,361.384521484375,133656.984375,1.0234168511008697,2635
SP411,Rev,R1,6.0,413.5545959472656,2584240.0,15.110093132105439,449.3661193847656,141196.625,0.6992358166444048,1689
SP411,Rev,R1,25.0,275.2679748535156,117571.515625,1.5516391939680974,785.2621459960938,261370.546875,0.42386477026493125,4600
SP411,Rev,R1,50.0,176.4573516845703,166698.671875,5.353682673178238,1346.513671875,356902.375,0.19684659332275586,4441
SP411,Rev,R1,100.0,141.56459045410156,24408.951171875,1.2179791247312517,1211.8359375,319105.78125,0.21729364112322802,4424
SP411,Rev,R1,150.0,218.36207580566406,64628.69921875,1.3554109399116476,1054.4947509765625,249008.609375,0.22393682600063994,2471
SP411,Rev,R2,0.0,5579.55517578125,43665256.0,1.4026097625783531,449.1246643066406,324429.53125,1.608372236836371,7235
SP411,Rev,R2,1.0,1691.185546875,21282004.0,7.440977710633383,459.2973937988281,245820.90625,1.165281504217879,6446
SP411,Rev,R2,3.0,752.0044555664062,10780018.0,19.062447407772773,344.0010986328125,131001.0703125,1.1070192803564636,2594
SP411,Rev,R2,6.0,568.94189453125,7428311.0,22.948497099651632,382.0107421875,120796.359375,0.8277566805634206,1374
SP411,Rev,R2,25.0,327.10076904296875,151655.96875,1.4174128876221288,864.0750122070312,232678.75,0.31164045496536136,4438
SP411,Rev,R2,50.0,189.85618591308594,407048.3125,11.292665257335553,1154.4134521484375,321897.84375,0.24154347487656233,5340
SP411,Rev,R2,100.0,148.05914306640625,61324.51171875,2.7974583936413833,1175.199951171875,322150.40625,0.23325725144875886,5430
SP411,Rev,R2,150.0,195.87408447265625,37398.1796875,0.9747573190619915,1205.857177734375,273134.875,0.18783884561855488,3422
SP411,Rev,R3,0.0,5548.66845703125,44153968.0,1.4341421072858038,411.47088623046875,161018.84375,0.9510393350807173,8030
SP411,Rev,R3,1.0,1637.72802734375,17484562.0,6.518853101675005,452.8088684082031,192371.171875,0.9382317866953935,7913
SP411,Rev,R3,3.0,867.7416381835938,19004084.0,25.238646837748156,336.89764404296875,120353.984375,1.0603873167476336,2760
SP411,Rev,R3,6.0,536.8896484375,4561802.0,15.825825403494061,387.989013671875,104636.1640625,0.6950930619518316,1576
SP411,Rev,R3,25.0,290.2614440917969,111515.9296875,1.3236044120591313,1005.2525634765625,247681.0625,0.24509949899315628,4585
SP411,Rev,R3,50.0,171.46971130371094,37550.4609375,1.2771456811864257,1225.163818359375,341927.46875,0.22779577553867672,4077
SP411,Rev,R3,100.0,153.53504943847656,36590.6796875,1.5522276325743232,1228.855224609375,346451.78125,0.22942532628445167,4412
SP411,Rev,R3,150.0,178.68089294433594,15628.8818359375,0.48952139671731754,1149.9765625,224957.171875,0.17010687455974613,4470
SP427,KD,R1,0.0,367.8626403808594,76704.671875,0.5668268955088726,1610.6488037109375,402672.96875,0.1552211039540359,14269
SP427,KD,R1,3.0,467.7929382324219,184993.734375,0.8453755762540084,1623.5946044921875,377895.25,0.14335611872159665,6655
SP427,KD,R1,6.0,752.6699829101562,600302.0,1.0596454985457713,1496.117431640625,403617.96875,0.1803180185224137,3128
SP427,KD,R1,8.0,829.8394165039062,640736.125,0.9304458247215581,1425.8865966796875,459760.5625,0.22613185332584054,2000
SP427,KD,R1,25.0,1482.607421875,1408342.875,0.6407019728304922,626.6458740234375,161633.484375,0.4116109940680201,6763
SP427,KD,R1,50.0,1805.5831298828125,2081565.125,0.6384913622324947,236.41526794433594,47383.3515625,0.8477635418848399,6860
SP427,KD,R1,100.0,1613.19873046875,1490092.375,0.5725816810403671,311.98089599609375,129841.5078125,1.3340052788778154,3693
SP427,KD,R1,150.0,1241.889892578125,1166339.625,0.7562386080970037,329.5978698730469,139617.171875,1.2851980088223562,2892
SP427,KD,R2,0.0,372.2691650390625,89474.7265625,0.645633786753789,1491.1197509765625,407747.03125,0.1833858244557271,25378
SP427,KD,R2,3.0,474.6328430175781,176783.21875,0.7847394100382533,1596.1497802734375,420540.5,0.1650671077514921,6556
SP427,KD,R2,6.0,716.3224487304688,566446.0,1.1039296321246312,1603.7357177734375,473325.21875,0.1840322944487594,2756
SP427,KD,R2,8.0,870.414306640625,755973.5625,0.9978254264825188,1440.699951171875,480508.9375,0.23150180796201253,2215
SP427,KD,R2,25.0,1600.8524169921875,1636257.5,0.6384825879555244,591.29296875,150171.015625,0.4295173273284948,6465
SP427,KD,R2,50.0,1981.6741943359375,2254971.0,0.5742175384090294,227.85635375976562,46140.1171875,0.8887025094417078,5696
SP427,KD,R2,100.0,1606.5986328125,1540629.375,0.5968749989244126,305.0606994628906,110940.0625,1.1921087695451067,3246
SP427,KD,R2,150.0,1241.9671630859375,1049501.875,0.6803979427846044,300.3700866699219,99450.9921875,1.1022897285818638,2855
